vendor	name	url	enable_proxy	description	more_info	subjects	content_id
Edward Elgar Publishing	Elgar Economics 2018	http://aus.idm.oclc.org/login?url=http://www.elgaronline.com/browse	1	Edward Elgar Publishing is a leading international academic and professional publisher with a strong focus on the social sciences and legal fields.			
Edward Elgar Publishing	Elgar Regional and Urban Mini collection	http://aus.idm.oclc.org/login?url=http://www.elgaronline.com/browse	1	Edward Elgar Publishing is a leading international academic and professional publisher with a strong focus on the social sciences and legal fields.			
Elsevier	Engineering Village (Compendex)	http://www.engineeringvillage.com/home.url?acw=	0	[Abstract-only] Compendex is the most comprehensive bibliographic database of scientific and technical engineering research available, covering all engineering disciplines. Subjects include: civil, energy, environmental, geological, and biological engineering; electrical, electronics, and control engineering; chemical, mining, metals, and fuel engineering; mechanical, automotive, nuclear, and aerospace engineering; computers, robotics, and industrial robots.		 Engineering	12104690
Elsevier	ScienceDirect Journal Backfile Package - Economics, Econometrics and Finance including Supplement 1	http://aus.idm.oclc.org/login?url=https://www.sciencedirect.com/science/journal/	1	ScienceDirect's extensive full text database covers authoritative titles from the core scientific literature. Coverage includes strong content in the health, life, physical, and social sciences.			
Elsevier	ScienceDirect Journal Backfile Package - Business, Management and Accounting including Supplement 1	http://aus.idm.oclc.org/login?url=https://www.sciencedirect.com/science/journal/	1	ScienceDirect's extensive full text database covers authoritative titles from the core scientific literature. Coverage includes strong content in the health, life, physical, and social sciences.			
Elsevier	ScienceDirect All Books	http://aus.idm.oclc.org/login?url=https://www.sciencedirect.com/science/books/	1	ScienceDirect's extensive full text database covers authoritative titles from the core scientific literature. Coverage includes strong content in the health, life, physical, and social sciences.			
Elsevier	ScienceDirect	http://aus.idm.oclc.org/login?url=https://www.sciencedirect.com	1	ScienceDirect's extensive full text database covers authoritative titles from the core scientific literature. Coverage includes strong content in the health, life, physical, and social sciences.		 Sciences; Architecture, Art and Design; Business and Management; Economics; Engineering; Social Sciences	12104702
Elsevier	ScienceDirect Journal Backfile Package - Business, Management and Accounting 1995-2004	http://aus.idm.oclc.org/login?url=https://www.sciencedirect.com/science/journal/	1	ScienceDirect's extensive full text database covers authoritative titles from the core scientific literature. Coverage includes strong content in the health, life, physical, and social sciences.			
Elsevier	ScienceDirect - Freedom Collection ( All )	http://aus.idm.oclc.org/login?url=https://www.sciencedirect.com/science/journal/	1	ScienceDirect's extensive full text database covers authoritative titles from the core scientific literature. Coverage includes strong content in the health, life, physical, and social sciences.			
Elsevier	ScienceDirect eBook - Materials Science 2017 [EBCMS17]	http://aus.idm.oclc.org/login?url=https://sciencedirect.com/science/books/	1	ScienceDirect's extensive full text database covers authoritative titles from the core scientific literature. Coverage includes strong content in the health, life, physical, and social sciences.			
Elsevier	ScienceDirect eBook - Materials Science 2016	http://aus.idm.oclc.org/login?url=https://sciencedirect.com/science/books/	1	ScienceDirect's extensive full text database covers authoritative titles from the core scientific literature. Coverage includes strong content in the health, life, physical, and social sciences.			
Elsevier	ScienceDirect All Books	http://aus.idm.oclc.org/login?url=https://www.sciencedirect.com/science/books/	1	ScienceDirect's extensive full text database covers authoritative titles from the core scientific literature. Coverage includes strong content in the health, life, physical, and social sciences.			
Elsevier	ScienceDirect eBook - Materials Science 2015	http://aus.idm.oclc.org/login?url=https://sciencedirect.com/science/books/	1	ScienceDirect's extensive full text database covers authoritative titles from the core scientific literature. Coverage includes strong content in the health, life, physical, and social sciences.			
Elsevier	SCOPUS	http://aus.idm.oclc.org/login?url=http://www.scopus.com/scopus/home.url	1	[Abstract-only] Scopus is an abstract and citation database of peer-reviewed literature: journals, books and conference proceedings. Delivering a comprehensive overview of the world's research output in the fields of science, technology, medicine, social sciences, and arts and humanities, Scopus features smart tools to track, analyze and visualize research.		 Library Tools	35165938
Emerald Insight	Emerald Journals	http://aus.idm.oclc.org/login?url=https://www.emeraldinsight.com/	1	Emerald Journals provides comprehensive coverage across all management disciplines. Subject coverage spans a spectrum of management disciplines including: strategy; leadership; library and information management; marketing and human resource management; plus a substantial number of engineering titles.		 Business and Management; Economics; Engineering	12104691
Emerald Insight	Emerald Management 150	http://aus.idm.oclc.org/login?url=https://www.emeraldinsight.com/	1	Emerald Journals provides comprehensive coverage across all management disciplines. Subject coverage spans a spectrum of management disciplines including: strategy; leadership; library and information management; marketing and human resource management; plus a substantial number of engineering titles.			
Emerald Insight	Emerald Engineering eJournal Collection	http://aus.idm.oclc.org/login?url=https://www.emeraldinsight.com/	1	Emerald Journals provides comprehensive coverage across all management disciplines. Subject coverage spans a spectrum of management disciplines including: strategy; leadership; library and information management; marketing and human resource management; plus a substantial number of engineering titles.			
